Time, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
0.3533334,11.39,0,0,0,0,0
0.4433128,11.39,0,0,0,0,0
0.4939524,11.39,0,0,0,0,0
0.5461007,11.39,0,0,0,0,0
0.596375,11.39,0,0,0,0,0
0.6472587,11.39,0,0,0,0,0
0.7163413,11.39,0,0,0,0,0
0.7826772,11.39,0,0,0,0,0
1.063488,11.39,0,0,0,0,0
1.114249,11.39,0,0,0,0,0
1.165058,11.39,0,0,0,0,0
1.215927,11.39,0,0,0,0,0
1.266678,11.39,0,0,0,0,0
1.317106,11.39,0,0,0,0,0
1.367761,11.39,0,0,0,0,0
1.417906,11.39,0,0,0,0,0
1.476223,11.39,0,0,0,0,0
1.526413,11.39,0,0,0,0,0
1.576495,11.39,0,0,0,0,0
1.628466,11.39,0,0,0,0,0
1.67929,11.39,0,0,0,0,0
1.730138,11.39,0,0,0,0,0
1.78159,11.39,0,0,0,0,0
1.832784,11.39,0,0,0,0,0
1.88334,11.39,0,0,0,0,0
1.934183,11.39,0,0,0,0,0
2.055929,11.39,0,0,0,0,0
2.108947,11.39,0,0,0,0,0
2.162498,11.39,0,0,0,0,0
2.215784,11.39,0,0,0,0,0
2.266942,11.39,0,0,0,0,0
2.320431,11.39,0,0,0,0,0
2.37178,11.39,0,0,0,0,0
2.422992,11.39,0,0,0,0,0
2.475696,11.39,0,0,0,0,0
2.525762,11.39,0,0,0,0,0
2.579751,11.39,0,0,0,0,0
2.633742,11.39,0,0,0,0,0
2.686491,11.39,0,0,0,0,0
2.737383,11.39,0,0,0,0,0
2.788618,11.39,0,0,0,0,0
2.843441,11.39,0,0,0,0,0
2.895583,11.39,0,0,0,0,0
2.947744,11.39,0,0,0,0,0
2.998641,11.39,0,0,0,0,0
3.051533,11.39,0,0,0,0,0
3.104108,11.39,0,0,0,0,0
3.155227,11.39,0,0,0,0,0
3.209129,11.39,0,0,0,0,0
3.263053,11.39,0,0,0,0,0
3.314797,11.39,0,0,0,0,0
3.368972,11.39,0,0,0,0,0
3.419499,11.39,0,0,0,0,0
3.471151,11.39,0,0,0,0,0
3.527925,11.39,0,0,0,0,0
3.581245,11.39,0,0,0,0,0
3.722,11.39,0,0,0,0,0
4.026205,11.39,0,0,0,0,0
4.076653,11.39,0,0,0,0,0
4.133164,11.39,0,0,0,0,0
4.188121,11.39,0,0,0,0,0
4.246292,11.39,0,0,0,0,0
4.303734,11.39,0,0,0,0,0
